jurisdiction,topic_key,topic_label,source_url,notes
Hawaii,background_checks,Background Check / Ban-the-Box,https://labor.hawaii.gov/hcrc/files/2020/09/Arrest-Court-Record-2022.pdf,Arrest-Court-Record-2022.pdf – 
Hawaii,mini_warn,Mini-WARN & Separation Notices,https://labor.hawaii.gov/wdc/the-warn-act/,The WARN Act  |  Workforce Development Council – 
Hawaii,everify,E-Verify / Employment Verification,https://www.e-verify.gov/about-e-verify/whats-new/form-i-9-and-e-verify-guidance-for-those-affected-by-the-2023-hawaii,Form I-9 and E-Verify Guidance for Those Affected by the ... – 
Hawaii,workers_comp,Workers’ Compensation Requirements,https://labor.hawaii.gov/dcd/,Disability Compensation Division – 
Hawaii,prevailing_wage,Prevailing Wage Laws (public contracts),https://labor.hawaii.gov/wsd/prevailing-wages-wage-rate-schedule/,Prevailing Wages – Wage Rate Schedule  |  Wage Standards Division – 
Hawaii,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://labor.hawaii.gov/wsd/breaks-meal-rest/,Breaks: Meal & Rest  |  Wage Standards Division – 
Hawaii,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://data.hawaii.gov/wp-content/uploads/2025/03/CDO007-GenAI-Assistant-Technologies-Usage-Guidelines.pdf,GenAI1 Assistant Technologies Usage Guidelines Document No – 
Hawaii,right_to_work,Right-to-Work Laws (where applicable),https://www.capitol.hawaii.gov/hrscurrent/Vol07_Ch0346-0398/HRS0377/HRS_0377-.htm,CHAPTER 377 – 
Hawaii,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.capitol.hawaii.gov/hrscurrent/vol07_ch0346-0398/HRS0378/HRS_0378-0072.htm,House Bill – 
Hawaii,voting_leave,Voting / Civic Leave,https://www.hawaii.edu/uhwo/clear/home/voting.html,Hawaii Labor Law: Time off for Voting – 
Hawaii,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/stateplans,State Plans | Occupational Safety and Health Administration – 
Hawaii,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://labor.hawaii.gov/hrsp/about-hrsp/,About HRSP  |  Hawaiʻi Retirement Savings Program – 
Idaho,minimum_wage,Minimum Wage,https://www.labor.idaho.gov/businesses/labor-laws/labor-laws-faq/,Frequently Asked Questions on Labor Laws – 
Idaho,overtime,Overtime & Hours,https://www.sco.idaho.gov/LivePages/flsa%20-%20overtime.aspx,Overtime/FLSA - State of Idaho Controller's Office – 
Idaho,paid_sick_leave,Paid Sick Leave,https://www.workforcehub.com/hr-laws-and-regulations/idaho/idaho-paid-sick-leave-laws/,Paid Sick Leave Requirements in Idaho | WorkforceHub – 
Idaho,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.sco.idaho.gov/LivePages/family%20medical%20leave%20act.aspx,Family Medical Leave Act - State of Idaho Controller's Office – 
Idaho,final_pay,Final Pay / Vacation Payout,https://www.sco.idaho.gov/LivePages/statewide-leave-policy.aspx,Statewide Leave Policy – 
Idaho,pay_frequency,Pay Frequency & Payday Timing,https://dhr.idaho.gov/wp-content/uploads/EOO/Element2/Guide-to-Idaho-Labor-Laws-English.pdf,Guide to Idaho Labor Laws – 
Idaho,harassment_training,Harassment Training,https://humanrights.idaho.gov/what-we-do/prevention/,Prevention | Idaho Human Rights Commission – 
Idaho,posting_requirements,Posting Requirements,https://www.labor.idaho.gov/businesses/labor-laws/required-posters/,Required Posters - Idaho Department of Labor – 
Idaho,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://humanrights.idaho.gov/idaho-law/types-of-discrimination/sex/,Sex - Idaho Human Rights Commission – 
Idaho,meal_rest_breaks,Meal & Rest Breaks,https://www.labor.idaho.gov/businesses/idaho-labor-laws/labor-laws-faq/,Frequently Asked Questions on Labor Laws | Idaho ... – 
Idaho,jury_duty_leave,Jury Duty Leave,https://dhr.idaho.gov/wp-content/uploads/2025/01/DHR-05_Special-Leaves.pdf,Executive Branch Statewide Policy – 
Idaho,bereavement_leave,Bereavement Leave,https://dhr.idaho.gov/wp-content/uploads/2025/01/DHR-05_Special-Leaves.pdf,Executive Branch Statewide Policy – 
Idaho,non_compete,Non-Compete Enforcement Rules,https://legislature.idaho.gov/statutesrules/idstat/title44/t44ch27/sect44-2701/,Section 44-2701 – Idaho State Legislature – 
Idaho,background_checks,Background Check / Ban-the-Box,https://healthandwelfare.idaho.gov/bcu,Idaho Background Check Unit | Idaho Department of Health and Welfare – 
Idaho,mini_warn,Mini-WARN & Separation Notices,https://www.labor.idaho.gov/Businesses/Layoff-Assistance/,Layoff Assistance - Idaho Department of Labor – 
Idaho,everify,E-Verify / Employment Verification,https://dhr.idaho.gov/information-about-state-careers/,Information About State Careers | Idaho Division of Human ... – 
Idaho,workers_comp,Workers’ Compensation Requirements,https://iic.idaho.gov/employer-compliance-division/employer-information/,Employer Information - Industrial Commission - Idaho.gov – 
Idaho,prevailing_wage,Prevailing Wage Laws (public contracts),https://apps.itd.idaho.gov/apps/manuals/ca/ca112-labor_compliance.pdf,SECTION 112.00 – LABOR COMPLIANCE – 
Idaho,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.labor.idaho.gov/Businesses/Idaho-Labor-Laws/Labor-Laws-FAQ/,Frequently Asked Questions on Labor Laws - Idaho Department of Labor – 
Idaho,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.mountainstatespolicy.org/idaho-s-current-artificial-intelligence-status-in-government,Current status of Artificial Intelligence use in Idaho – 
Idaho,right_to_work,Right-to-Work Laws (where applicable),https://www.labor.idaho.gov/wp-content/uploads/ES/ES-guidance.pdf,EMPLOYMENT SERVICES POLICY GUIDANCE – 
Idaho,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://dhr.idaho.gov/wp-content/uploads/2025/01/DHR-05_Special-Leaves.pdf,Executive Branch Statewide Policy – 
Idaho,voting_leave,Voting / Civic Leave,https://voteidaho.gov/,Home Page | VoteIdaho.Gov – 
Idaho,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www.boisestate.edu/oshcon/,Idaho Occupational Safety and Health Consultation Program – 
Idaho,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://employee.idaho.gov/retirement/,Retirement & Savings - Idaho State Employee Portal – 
Illinois,minimum_wage,Minimum Wage,https://labor.illinois.gov/laws-rules/fls/minimum-wage-law.html,Minimum Wage Law - Illinois Department of Labor – 
Illinois,overtime,Overtime & Hours,https://labor.illinois.gov/employees.html,Worker Rights - Employees - Illinois Department of Labor – 
Illinois,paid_sick_leave,Paid Sick Leave,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=4351&ChapterID=68,(820 ILCS 192/) Paid Leave for All Workers Act. – 
Illinois,family_medical_leave,Paid Family / Medical Leave (PFML),https://labor.illinois.gov/laws-rules/paidleave.html,Paid Leave for All Workers Act - Illinois Department of Labor – 
Illinois,final_pay,Final Pay / Vacation Payout,https://labor.illinois.gov/faqs/vacation-faq.html,Vacation FAQ - Illinois Department of Labor – 
Illinois,pay_frequency,Pay Frequency & Payday Timing,https://labor.illinois.gov/faqs/wage-payment-faq.html,Wage Payment and Collection Act FAQ – 
Illinois,harassment_training,Harassment Training,https://dhr.illinois.gov/training/sexual-harassment-prevention-training-videos-and-audio.html,Sexual Harassment Prevention Training Videos and Audio – 
Illinois,posting_requirements,Posting Requirements,https://labor.illinois.gov/employers/posters.html,Required Posters & Disclosures - Illinois Department of Labor – 
Illinois,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://dhr.illinois.gov/publications/pregnancy-rights.html,Pregnancy Rights: a Non-Regulatory Guidance – 
Illinois,meal_rest_breaks,Meal & Rest Breaks,https://www.ilga.gov/legislation/ilcs/documents/082001400K3.htm,820 ILCS 140/3 – 
Illinois,jury_duty_leave,Jury Duty Leave,https://www.ilga.gov/legislation/ilcs/documents/070503050K4.1.htm,705 ILCS 305/4.1 – 
Illinois,bereavement_leave,Bereavement Leave,https://labor.illinois.gov/faqs/flbafaqs.html,Family Bereavement Leave Act FAQs – 
Illinois,non_compete,Non-Compete Enforcement Rules,https://cms.illinois.gov/content/dam/soi/en/web/cms/personnel/employeeresources/documents/emp-rules.pdf,Personnel Rules – 
Illinois,background_checks,Background Check / Ban-the-Box,https://labor.illinois.gov/laws-rules/fls/job-opportunities-for-qualified-applicants-act.html,Job Opportunities for Qualified Applicants Act (Ban the Box) – 
Illinois,mini_warn,Mini-WARN & Separation Notices,https://dceo.illinois.gov/workforcedevelopment/warn.html,Notices of Layoffs and Closures (WARN) – 
Illinois,everify,E-Verify / Employment Verification,https://labor.illinois.gov/faqs/right-to-privacy-in-the-workplace-e-verify.html,Right to Privacy in the Workplace/E-Verify – 
Illinois,workers_comp,Workers’ Compensation Requirements,https://iwcc.illinois.gov/,IWCC – 
Illinois,prevailing_wage,Prevailing Wage Laws (public contracts),https://labor.illinois.gov/laws-rules/conmed/prevailing-wage-act.html,Prevailing Wage Act - Illinois Department of Labor – 
Illinois,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://labor.illinois.gov/laws-rules/fls/odrisa.html,One Day Rest In Seven Act (ODRISA) – 
Illinois,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=3004&ChapterID=57,740 ILCS 14/ Biometric Information Privacy Act – 
Illinois,right_to_work,Right-to-Work Laws (where applicable),https://labor.illinois.gov/content/dam/soi/en/web/idol/laws-rules/conmed/documents/IER_RightToWorkPoster%20English.pdf,IF YOU HAVE THE RIGHT TO WORK – 
Illinois,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.illinoislegalaid.org/legal-information/protections-and-rights-survivors-violence-workplace-common-questions,Protections and rights of survivors of violence in the workplace common questions – 
Illinois,voting_leave,Voting / Civic Leave,https://www.hr.uillinois.edu/leave/other/Voting_GenSpec,Voting - General or Special Election – 
Illinois,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://labor.illinois.gov/laws-rules/safety.html,Illinois OSHA – 
Illinois,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://tax.illinois.gov/businesses/securechoiceprogramenforcement.html,Secure Choice Program Enforcement – 
Indiana,minimum_wage,Minimum Wage,https://www.in.gov/dol/wage-and-hour/wage-and-hour-home/,DOL: Wage & Hour Home – 
Indiana,overtime,Overtime & Hours,https://www.in.gov/spd/policies-and-procedures/hours-of-work-and-overtime/,SPD: Hours of Work and Overtime – 
Indiana,paid_sick_leave,Paid Sick Leave,https://www.in.gov/isp/files/c_sick-and-personal-leave.pdf,CIVILIAN RULE 5 SICK and PERSONAL LEAVE Section 5 – 
Indiana,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.in.gov/spd/policies-and-procedures/family-and-medical-leave/,SPD: Family & Medical Leave – 
Indiana,final_pay,Final Pay / Vacation Payout,https://faqs.in.gov/hc/en-us/articles/115005216848-When-I-leave-my-employment-is-my-former-employer-required-to-pay-me-for-any-accrued-vacation-time,"When I leave my employment, is my former employer required to pay me for any accrued vacation time? – "
Indiana,pay_frequency,Pay Frequency & Payday Timing,https://www.in.gov/spd/files/Time-Reporting-Policy.pdf,Time Reporting Policy – 
Indiana,harassment_training,Harassment Training,https://www.in.gov/spd/trainingopportunities/required-training/,SPD: Training Opportunities: Required Training – 
Indiana,posting_requirements,Posting Requirements,https://www.in.gov/core/business_guide.html,Business Owner's Guide – 
Indiana,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.in.gov/spd/files/reasonable-accommodations-pregnancy-childbirth-medical-conditions-policy.pdf,"Pregnancy, Childbirth, Related Medical Condition – "
Indiana,meal_rest_breaks,Meal & Rest Breaks,https://www.in.gov/dol/wage-and-hour/wage-and-hour-faqs/,Wage & Hour FAQs – 
Indiana,jury_duty_leave,Jury Duty Leave,https://www.in.gov/spd/files/leaves-and-absences-policy.pdf,Leaves and Absences Policy | Indiana State Government – 
Indiana,bereavement_leave,Bereavement Leave,https://www.in.gov/spd/files/leaves-and-absences-policy.pdf,Leaves and Absences Policy | Indiana State Government – 
Indiana,non_compete,Non-Compete Enforcement Rules,https://www.in.gov/courts/iocs/files/commercial-court-treatise.pdf,Indiana Commercial Court treatise – 
Indiana,background_checks,Background Check / Ban-the-Box,https://www.in.gov/spd/files/bgcheckpolicy.pdf,Background Checks Policy.pdf – 
Indiana,mini_warn,Mini-WARN & Separation Notices,https://dwdportal.dwd.in.gov/WARN/warn_landing/,Worker Adjustment and Retraining Notifications (WARNs) – 
Indiana,everify,E-Verify / Employment Verification,https://www.uscis.gov/i-9,"I-9, Employment Eligibility Verification – "
Indiana,workers_comp,Workers’ Compensation Requirements,https://www.in.gov/wcb/,WCB: Home – 
Indiana,prevailing_wage,Prevailing Wage Laws (public contracts),https://go-alliant.com/state-compliance/indiana/,Indiana Prevailing Wage Compliance | Alliant Consulting – 
Indiana,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.in.gov/dol/files/2525_001.pdf,Guidelines for Employers to Reduce Motor Vehicle Crashes – 
Indiana,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.in.gov/iifc/files/Indiana_Intelligence_Fusion_Center_Face_Recognition_Policy.pdf,Indiana Intelligence Fusion Center – 
Indiana,right_to_work,Right-to-Work Laws (where applicable),https://www.in.gov/dol/right-to-work/,Right-to-Work – 
Indiana,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.in.gov/spd/policies-and-procedures/family-and-medical-leave/,Family & Medical Leave – 
Indiana,voting_leave,Voting / Civic Leave,,Error: 502 Server Error: Bad Gateway for url: https://api.exa.ai/search
Indiana,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/stateplans,State Plans | Occupational Safety and Health Administration – 
Indiana,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://www.in.gov/inprs/my-fund/state-of-indiana-retirement-medical-benefits-account-plan/,State of Indiana Retirement Medical Benefits Account Plan – 
Iowa,minimum_wage,Minimum Wage,https://www.dol.gov/agencies/whd/minimum-wage/state,State Minimum Wage Laws – 
Iowa,overtime,Overtime & Hours,https://das.iowa.gov/sites/default/files/hr/documents/flsa/FLSA_FAQs_ER_10.19.16.pdf,Fair Labor Standards Act - 2016 Overtime Pay Rule Changes – 
Iowa,paid_sick_leave,Paid Sick Leave,https://das.iowa.gov/sites/default/files/hr/benefits/documents/benefit_guide_extended_illness.pdf,Benefit Guide - Iowa Department of Administrative Services – 
Iowa,family_medical_leave,Paid Family / Medical Leave (PFML),https://das.iowa.gov/state-employees/human-resources/employee-benefits-programs/managing-your-leaves-absence/fmla-family-medical-leave-act,FMLA (Family & Medical Leave Act) | Iowa Department of ... – 
Iowa,final_pay,Final Pay / Vacation Payout,https://www.legis.iowa.gov/docs/ico/chapter/70A.pdf,CHAPTER 70A – 
Iowa,pay_frequency,Pay Frequency & Payday Timing,https://www.legis.iowa.gov/docs/iac/chapter/01-08-2025.11.63.pdf,"IAC 2/8/23 Administrative Services[11] Ch 63, p.1 ... – "
Iowa,harassment_training,Harassment Training,https://educate.iowa.gov/pk-12/student-supports/prevention/bullying,Bullying & Harassment - Iowa Department of Education – 
Iowa,posting_requirements,Posting Requirements,https://workforce.iowa.gov/employers/resources,Business Resources | Iowa Workforce Development – 
Iowa,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://hr.uiowa.edu/support/faculty-and-staff-disability-services/pregnant-worker-fairness-act,Pregnant Workers Fairness Act (PWFA) – 
Iowa,meal_rest_breaks,Meal & Rest Breaks,https://dial.iowa.gov/hearings/wage-and-child-labor/wages,Wage Unit - Iowa Department of Inspections and Appeals – 
Iowa,jury_duty_leave,Jury Duty Leave,https://www.iowacourts.gov/iowa-courts/jury-service,Jury Service | Iowa Judicial Branch – 
Iowa,bereavement_leave,Bereavement Leave,https://das.iowa.gov/state-employees/human-resources/employee-benefits-programs/managing-your-leaves-absence,Managing Your Leaves of Absence – 
Iowa,non_compete,Non-Compete Enforcement Rules,https://www.legis.iowa.gov/docs/ico/chapter/23A.pdf,CHAPTER 23A – 
Iowa,background_checks,Background Check / Ban-the-Box,https://hhs.iowa.gov/programs-and-services/record-check-evaluations,Record Check Evaluations – 
Iowa,mini_warn,Mini-WARN & Separation Notices,https://content.next.westlaw.com/practical-law/document/I77ec171bef2e11e28578f7ccc38dcbee/Mini-WARN-Acts-Iowa?viewType=FullText&transitionType=Default&contextData=(sc.Default),Mini-WARN Acts: Iowa | Practical Law – 
Iowa,everify,E-Verify / Employment Verification,https://www.e-verify.gov/employers,Employers | E-Verify – 
Iowa,workers_comp,Workers’ Compensation Requirements,https://dial.iowa.gov/hearings/workers-comp/compliance,Compliance – 
Iowa,prevailing_wage,Prevailing Wage Laws (public contracts),https://emarsinc.com/prevailing-wages/iowa,Prevailing Wage and Davis-Bacon Compliance in Iowa – 
Iowa,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://www.iowadivisionoflabor.gov/idol/wage-hour/faq,Wage & Hour - Common Questions – 
Iowa,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.hhs.gov/hipaa/for-professionals/special-topics/de-identification/index.html,Methods for De-identification of PHI – 
Iowa,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-states-iowa/,Right to Work States: Iowa - National Right to Work Legal Defense Foundation – 
Iowa,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://das.iowa.gov/state-employees/human-resources/employee-benefits-programs/managing-your-leaves-absence,Managing Your Leaves of Absence – 
Iowa,voting_leave,Voting / Civic Leave,http://sos.iowa.gov/elections-voting,Elections & Voting | Iowa Secretary of State - Paul D. Pate – 
Iowa,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://www.osha.gov/stateplans/ia,Iowa State Plan | Occupational Safety and Health Administration – 
Iowa,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://das.iowa.gov/ric/ric-state-employees-soi,RIC for State Employees – 
Kansas,minimum_wage,Minimum Wage,https://www.dol.ks.gov/employers/workplace-laws,Workplace Laws and Requirements – 
Kansas,overtime,Overtime & Hours,https://www.dol.ks.gov/employers/workplace-laws,Workplace Laws and Requirements – 
Kansas,paid_sick_leave,Paid Sick Leave,https://www.dol.ks.gov/employers/workplace-laws/workplace-laws-faqs,Workplace Laws FAQs | State of Kansas ... – 
Kansas,family_medical_leave,Paid Family / Medical Leave (PFML),https://admin.ks.gov/offices/personnel-services/agency-information/personnel-bulletins/bulletin-09-03---fmla-guidelines-for-the-state-of-kansas,Bulletin 09-03 - FMLA Guidelines for the State of Kansas – 
Kansas,final_pay,Final Pay / Vacation Payout,https://www.kansastag.gov/DocumentCenter/View/552/034-15-Leave-Use-and-Accumulation-PDF,memorandum for all state employees – 
Kansas,pay_frequency,Pay Frequency & Payday Timing,https://admin.ks.gov/media/cms/93a9b83a-17e3-4e1d-9242-7d3256592b58.pdf,Lesson 1: Introduction to Payroll – 
Kansas,harassment_training,Harassment Training,https://admin.ks.gov/offices/personnel-services/training/statewide-training-calendar,TRAINING OPPORTUNITIES – 
Kansas,posting_requirements,Posting Requirements,https://www.dol.ks.gov/employers/workplace-laws/posters-in-the-workplace,Posters in the Workplace – 
Kansas,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://admin.ks.gov/offices/personnel-services/policy--programs/state-of-kansas-ada-coordinator,State of Kansas ADA Coordinator – 
Kansas,meal_rest_breaks,Meal & Rest Breaks,https://www.workforcehub.com/hr-laws-and-regulations/kansas/kansas-meal-and-rest-break-laws/,Meal and Rest Break Laws in Kansas | WorkforceHub – 
Kansas,jury_duty_leave,Jury Duty Leave,https://www.kansastag.gov/DocumentCenter/View/553/034-17-Court-Appearance-and-Jury-Duty-Leave-PDF,034-17 Court Appearance and Jury Duty Leave (PDF) – 
Kansas,bereavement_leave,Bereavement Leave,https://www.kansasregents.gov/resources/12162024_Policy_Manual_revised.pdf,KANSAS BOARD OF REGENTS POLICY MANUAL – 
Kansas,non_compete,Non-Compete Enforcement Rules,https://content.next.westlaw.com/practical-law/document/I77ec3974ef2e11e28578f7ccc38dcbee/Non-Compete-Laws-Kansas?viewType=FullText&transitionType=Default&contextData=(sc.Default),Non-Compete Laws: Kansas | Practical Law – 
Kansas,background_checks,Background Check / Ban-the-Box,https://www.kansas.gov/kbi/criminalhistory/ConductRecordCheck.html,Criminal History Record Search – 
Kansas,mini_warn,Mini-WARN & Separation Notices,https://content.next.westlaw.com/practical-law/document/I2a06b7011cb811e38578f7ccc38dcbee/Mini-WARN-Acts-Kansas?viewType=FullText&transitionType=Default&contextData=(sc.Default),Mini-WARN Acts: Kansas | Practical Law – 
Kansas,everify,E-Verify / Employment Verification,https://www.kslegislature.gov/li_2012/b2011_12/committees/misc/ctte_h_fed_st_1_20120216_07_other.pdf,Kansas State Legislature – 
Kansas,workers_comp,Workers’ Compensation Requirements,https://www.dol.ks.gov/workers-compensation/overview,Workers Compensation Division – 
Kansas,prevailing_wage,Prevailing Wage Laws (public contracts),https://www.kansascommerce.gov/wp-content/uploads/2021/07/NSP-Labor-Section-9.pdf,Section 9: Labor Standards – 
Kansas,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://admin.ks.gov/offices/personnel-services/agency-information/personnel-regulations/article-9---hours-leaves-employee-management-relations,Article 9 - Hours; Leaves; Employee-Management Relations – 
Kansas,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://law.justia.com/codes/kansas/chapter-72/article-63/section-72-6315/,2024 Kansas Statutes :: Chapter 72 - Schools :: Article 63 - Student Records :: 72-6315 Collection of biometric data prohibited. – 
Kansas,right_to_work,Right-to-Work Laws (where applicable),https://www.nrtw.org/right-to-work-states-kansas/,Right to Work States: Kansas - National Right to Work Legal Defense Foundation – 
Kansas,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://www.kansastag.gov/DocumentCenter/View/554/034-18-Domestic-Violence-or-Sexual-Assault-Leave-PDF,FROM: TAG-SHRO S – 
Kansas,voting_leave,Voting / Civic Leave,https://portal.kansas.gov/services/voting-civic-engagement/,Voting & Civic Engagement – 
Kansas,workplace_safety,Workplace Safety Requirements (OSHA or state-level),http://www.osha.gov/contactus/bystate/KS/areaoffice,Kansas | Occupational Safety and Health Administration – 
Kansas,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://admin.ks.gov/offices/accounts-reports/informational-messages-and-circulars/25-p-021-retirement-plan-limits-for-2025,25-P-021 Retirement Plan Limits for 2025 – 
Kentucky,minimum_wage,Minimum Wage,https://apps.legislature.ky.gov/law/kar/titles/803/001/081/,Title 803 Chapter 1 Regulation 081 • Kentucky Administrative Regulations • Legislative Research Commission – 
Kentucky,overtime,Overtime & Hours,https://elc.ky.gov/workplace-standards/Pages/Wages-and-Hours.aspx,Wages and Hours - Kentucky Education and Labor Cabinet – 
Kentucky,paid_sick_leave,Paid Sick Leave,https://extranet.personnel.ky.gov/Pages/Leave-.aspx,Employee Leave – 
Kentucky,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.congress.gov/crs-product/R44835,Paid Family and Medical Leave in the United States – 
Kentucky,final_pay,Final Pay / Vacation Payout,https://louisvilleky.gov/sites/default/files/2021-01/personnel-policies-010521.pdf,Louisville Metro Government Personnel Policies – 
Kentucky,pay_frequency,Pay Frequency & Payday Timing,https://elc.ky.gov/workplace-standards/Pages/Wages-and-Hours.aspx,Wages and Hours - Kentucky Education and Labor Cabinet – 
Kentucky,harassment_training,Harassment Training,https://extranet.personnel.ky.gov/ODET/sexual-harassment-prevention.pdf,Sexual Harassment Prevention – 
Kentucky,posting_requirements,Posting Requirements,https://kysafe.ky.gov/services/Pages/Publications.aspx,Publications - KYSafe Training – 
Kentucky,pregnancy_accommodation,Pregnancy / Disability / ADA Accommodations,https://www.gsa.gov/directives-library/policy-and-procedures-for-providing-reasonable-accommodation,Policy and Procedures for Providing Reasonable ... – 
Kentucky,meal_rest_breaks,Meal & Rest Breaks,https://elc.ky.gov/workplace-standards/Pages/Wages-and-Hours.aspx,Wages and Hours - Kentucky Education and Labor Cabinet – 
Kentucky,jury_duty_leave,Jury Duty Leave,https://www.kycourts.gov/Courts/Pages/Jury-Service.aspx,Jury Service – 
Kentucky,bereavement_leave,Bereavement Leave,https://corrections.ky.gov/employees/generalbenefits/Pages/LeaveBenefits.aspx,Leave Benefits - Department of Corrections - Kentucky.gov – 
Kentucky,non_compete,Non-Compete Enforcement Rules,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=38914,Kentucky Revised Statutes - Chapter 342 – 
Kentucky,background_checks,Background Check / Ban-the-Box,https://apps.legislature.ky.gov/law/kar/titles/906/001/190/,Title 906 Chapter 1 Regulation 190 • Kentucky Administrative Regulations • Legislative Research Commission – 
Kentucky,mini_warn,Mini-WARN & Separation Notices,https://www.congress.gov/crs-product/R42693,Worker Adjustment and Retraining Notification (WARN) Act – 
Kentucky,everify,E-Verify / Employment Verification,https://kcc.ky.gov/Documents/Forms%20and%20Posters/Formi9.pdf,"Form I-9, Employment Eligibility Verification – "
Kentucky,workers_comp,Workers’ Compensation Requirements,https://elc.ky.gov/Workers-Compensation/Pages/Employer-Responsibilities.aspx,Workers' Compensation - Employer Responsibilities – 
Kentucky,prevailing_wage,Prevailing Wage Laws (public contracts),https://kydlgweb.ky.gov/Documents/CDBG_handbook/KY%20CDBG%202015%20Chapter%206%20Labor%20Standards%20and%20Construction%20Management.pdf,Chapter 6: Labor Standards and Construction Management – 
Kentucky,day_of_rest,Day-of-Rest / Predetermined Break Laws,https://elc.ky.gov/Regulation%20Notice%20Documents/803%20KAR%201.060%20Amendment.pdf,KRS 337.285 S – 
Kentucky,biometric_privacy,Biometric Privacy / AI Use Laws (emerging),https://www.chfs.ky.gov/agencies/os/oats/polstand/080101AIGen%20AI.pdf,080.101 AI/Gen AI Policy – 
Kentucky,right_to_work,Right-to-Work Laws (where applicable),https://www.findlaw.com/state/kentucky-law/kentucky-right-to-work-laws.html,Kentucky Right to Work Laws - FindLaw – 
Kentucky,domestic_violence_leave,Crime Victim / Domestic Violence Leave,https://ag.ky.gov/Resources/Victim-Resources/Pages/domestic-violence.aspx,Domestic Violence - Kentucky Attorney General – 
Kentucky,voting_leave,Voting / Civic Leave,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/sb172/orig_bill.pdf,AN ACT relating to voting leave. – 
Kentucky,workplace_safety,Workplace Safety Requirements (OSHA or state-level),https://elc.ky.gov/workplace-standards/Workplace%20Standards/KY%20OSH%20Standards%20for%20GI%20and%20Construction.pdf,KENTUCKY OSH STANDARDS FOR GENERAL INDUSTRY – 
Kentucky,benefits_mandates,Employee Benefits Mandates (like state retirement savings programs),https://personnel.ky.gov/benefits-programs,Benefits and Programs – 
Louisiana,minimum_wage,Minimum Wage,https://www.dol.gov/agencies/whd/minimum-wage/state,State Minimum Wage Laws – 
Louisiana,overtime,Overtime & Hours,https://www.civilservice.louisiana.gov/csrules/Chapter21.aspx,Chapter 21: Overtime and Overtime Compensation – 
Louisiana,paid_sick_leave,Paid Sick Leave,https://www.workforcehub.com/hr-laws-and-regulations/louisiana/louisiana-paid-sick-leave-laws/,Paid Sick Leave Requirements in Louisiana | WorkforceHub – 
Louisiana,family_medical_leave,Paid Family / Medical Leave (PFML),https://www.civilservice.louisiana.gov/files/HRHandbook/JobAid/11-FMLA%20Workshop%20Presentation.pdf,FAMILY & MEDICAL LEAVE ACT (FMLA) – 
Louisiana,final_pay,Final Pay / Vacation Payout,https://truein.com/louisiana-pto-laws/,Louisiana PTO Laws: An Employer's Guide to Paid Time Off in Louisiana 2025 – 
Louisiana,pay_frequency,Pay Frequency & Payday Timing,https://www.legis.la.gov/legis/Law.aspx?d=83947,Louisiana Laws - Louisiana State Legislature – 
